Submission Date,Username,Level,Team,Total XP,Your XP Screenshot:,Collector Badge,Your Collector Badge Screenshot:,Jogger Badge,Your Jogger Badge Screenshot:,Breeder Badge,Your Breeder Badge Screenshot:,No Label,IP,Submission ID,Edit Link
2017-04-15 10:49:29,gigantictuna,38,Instinct,12858232,[Screenshot_20170415-114736.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/05abe93Screenshot_20170415-114736.png,21697,[Screenshot_20170415-114817.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/069f6dcScreenshot_20170415-114817.png,914.4,[Screenshot_20170415-114854.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0645638Screenshot_20170415-114854.png,546,[Screenshot_20170415-114912.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/06b2159Screenshot_20170415-114912.png,,142.169.78.150,3680805690516321047,Edit Submission
2017-04-15 10:49:42,SodomEyes,33,Instinct,935486,[IMG_2172.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/136a5d9IMG_2172.PNG,13834,[IMG_2175.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/123bfcbIMG_2175.PNG,1432.7,[IMG_2173.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/121b755IMG_2173.PNG,,,,184.151.246.214,3680805824127269995,Edit Submission
2017-04-15 10:51:41,Frankiehokage,33,Valor,114657,[Capture+_2017-04-15-11-48-20.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/26ad091Capture%2B_2017-04-15-11-48-20.png,10320,[Capture+_2017-04-15-11-48-46.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/34a1712Capture%2B_2017-04-15-11-48-46.png,1108.7,[Capture+_2017-04-15-11-48-32.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/817cde7Capture%2B_2017-04-15-11-48-32.png,314,[Capture+_2017-04-15-11-49-19.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/770c333Capture%2B_2017-04-15-11-49-19.png,,142.169.78.137,3680807017318819807,Edit Submission
2017-04-15 10:54:28,longjonsplinter,33,Instinct,493666,[IMG_1365.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/30b491cIMG_1365.PNG,12021,[IMG_1364.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/31c66c0IMG_1364.PNG,1523.1,[IMG_1363.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/30748b3IMG_1363.PNG,548,[IMG_1366.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/3212459IMG_1366.PNG,,184.151.246.138,3680808688317364091,Edit Submission
2017-04-15 10:55:56,likejagger5,33,Valor,125059,[Capture+_2017-04-15-11-52-53.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/551e0eaCapture%2B_2017-04-15-11-52-53.png,9950,[Capture+_2017-04-15-11-53-10.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/844f1c7Capture%2B_2017-04-15-11-53-10.png,1134.3,[Capture+_2017-04-15-11-52-26.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/7f50ac7Capture%2B_2017-04-15-11-52-26.png,335,[Capture+_2017-04-15-11-53-24.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/7357d1cCapture%2B_2017-04-15-11-53-24.png,,184.151.246.157,3680809567519388779,Edit Submission
2017-04-15 10:56:13,JeDyTy,28,Valor,82261,[IMG_4052.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/9c62441IMG_4052.PNG,3856,[IMG_4054.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/9c1dee4IMG_4054.PNG,566.3,[IMG_4055.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/9bf3e3dIMG_4055.PNG,153,[IMG_4056.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/9c02621IMG_4056.PNG,,142.169.78.250,3680809730529120791,Edit Submission
2017-04-15 10:56:31,Oinky Boinky,35,Mystic,6062017,[Screenshot_20170415-114525.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d4eacd6Screenshot_20170415-114525.png,18793,[Screenshot_20170415-114623.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d4c80dfScreenshot_20170415-114623.png,1632.7,[Screenshot_20170415-114545.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d4c469cScreenshot_20170415-114545.png,500,[Screenshot_20170415-114854.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d4d3b95Screenshot_20170415-114854.png,,24.114.108.247,3680809917426108805,Edit Submission
2017-04-15 10:56:40,Superhound,29,Instinct,98537,[IMG_3006.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/2e959c0IMG_3006.PNG,4775,[IMG_3007.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/67655acIMG_3007.PNG,708.7,[IMG_3008.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/9311971IMG_3008.PNG,220,[IMG_3008.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/b361b13IMG_3008.PNG,,142.169.78.239,3680810009323291814,Edit Submission
2017-04-15 10:57:10,PhoenixAstra,36,Mystic,8250866,[IMG_5125.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d5b2d60IMG_5125.PNG,24677,[IMG_5126.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d56c279IMG_5126.PNG,1162.7,[IMG_5128.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d565449IMG_5128.PNG,346,[IMG_5129.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d55b819IMG_5129.PNG,,24.114.99.7,3680810307994564208,Edit Submission
2017-04-15 10:57:14,Apohcalypse,37,Mystic,11092687,[Screenshot_20170415-115449.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/91aa0d0Screenshot_20170415-115449.png,26411,[Screenshot_20170415-115441.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d99ce3dScreenshot_20170415-115441.png,1687,[Screenshot_20170415-115407.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d974cccScreenshot_20170415-115407.png,,,,142.169.193.83,3680810343834832215,Edit Submission
2017-04-15 10:57:45,Ninjatsu97,33,Mystic,4380277,[Screenshot_20170415-115313.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/c577fa3Screenshot_20170415-115313.png,10966,[Screenshot_20170415-115325.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/c4aeba8Screenshot_20170415-115325.png,376.6,[Screenshot_20170415-115338.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/c4c8bf3Screenshot_20170415-115338.png,179,[Screenshot_20170415-115430.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/c56a89cScreenshot_20170415-115430.png,,142.169.78.201,3680810651024965840,Edit Submission
2017-04-15 10:57:53,GRAF3NB3RG,40,Instinct,20399524,[IMG_3286.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/af01ec6IMG_3286.PNG,40279,,2561.1,,1098,,,184.151.246.254,3680810734528242175,Edit Submission
2017-04-15 10:57:54,Rippopottamus,33,Instinct,690058,[IMG_0778.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/01e151dIMG_0778.PNG,11253,[IMG_0779.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0139406IMG_0779.PNG,695.5,[IMG_0780.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/01218b0IMG_0780.PNG,278,[IMG_0781.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0122afdIMG_0781.PNG,,209.171.88.109,3680810749011485203,Edit Submission
