Submission Date,Username,Level,Team,Total XP,Your XP Screenshot:,Collector Badge,Your Collector Badge Screenshot:,Jogger Badge,Your Jogger Badge Screenshot:,No Label,IP,Submission ID,Edit Link
2017-08-19 11:46:49,Awaylemonade,35,Instinct,717441,[Screenshot_20170819-114506.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/3c09f5aScreenshot_20170819-114506.png,11285,[Screenshot_20170819-114524.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/4ce1fbeScreenshot_20170819-114524.png,1011.5,[Screenshot_20170819-114518.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/5c477e8Screenshot_20170819-114518.png,,142.169.78.252,3789668092529884698,Edit Submission
2017-08-19 11:47:33,Vandermear,34,Mystic,638473,[Capture+_2017-08-19-11-45-19.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/9310e02Capture%2B_2017-08-19-11-45-19.png,10684,[Capture+_2017-08-19-11-44-31.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/9492ba9Capture%2B_2017-08-19-11-44-31.png,1029.5,[Capture+_2017-08-19-11-44-21.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/928be02Capture%2B_2017-08-19-11-44-21.png,,184.151.246.65,3789668535663359723,Edit Submission
2017-08-19 11:48:59,Tp0t,40,Instinct,22200559,[IMG_2226.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/59603cbIMG_2226.PNG,35571,[IMG_2227.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/95a7fccIMG_2227.PNG,1842.2,[IMG_2228.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/bf23673IMG_2228.PNG,,184.151.246.184,3789669394818391384,Edit Submission
2017-08-19 11:49:07,JPVF2016,38,Valor,1018473,[IMG_1898.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/f2335a5IMG_1898.PNG,32679,[IMG_1899.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/f1d0b73IMG_1899.PNG,3130.3,[IMG_1900.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/f1cd4cfIMG_1900.PNG,,24.114.97.199,3789669479917510214,Edit Submission
2017-08-19 11:50:32,Ishixe,29,Valor,159605,[Screenshot_20170819-114749.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/47d14d4Screenshot_20170819-114749.png,3159,[Screenshot_20170819-114814.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/4779fa1Screenshot_20170819-114814.png,380.5,[Screenshot_20170819-114800.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/4706b14Screenshot_20170819-114800.png,,184.151.246.67,3789670327662629370,Edit Submission
2017-08-19 11:50:46,PhoenixAstra,40,Mystic,24806339,[IMG_6387.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/556cc70IMG_6387.PNG,44497,[IMG_6388.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/5558c35IMG_6388.PNG,1760.8,[IMG_6389.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/5568271IMG_6389.PNG,,24.114.105.14,3789670464158257968,Edit Submission
2017-08-19 11:51:00,Infinitrize,40,Instinct,24707350,[Screenshot_20170819-114835.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/00895d2Screenshot_20170819-114835.png,34721,[Screenshot_20170819-114845.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/2f075dcScreenshot_20170819-114845.png,2754.7,[Screenshot_20170819-114841.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/4356a98Screenshot_20170819-114841.png,,24.114.102.198,3789670608915591695,Edit Submission
2017-08-19 11:51:46,GarethMzi,34,Valor,5256178,[IMG_1837.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/9134df3IMG_1837.PNG,10967,[IMG_1836.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/916e255IMG_1836.PNG,3077,[IMG_1835.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/914dcdcIMG_1835.PNG,,184.151.246.67,3789671067669351334,Edit Submission
2017-08-19 11:52:34,TyrMpatt,37,Instinct,9970880,[Screenshot_2017-08-19-11-48-18.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/c1444d1Screenshot_2017-08-19-11-48-18.png,18148,[Screenshot_2017-08-19-11-48-54.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/c12240dScreenshot_2017-08-19-11-48-54.png,1833.3,[Screenshot_2017-08-19-11-48-41.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/c0e4cacScreenshot_2017-08-19-11-48-41.png,,142.169.78.21,3789671541288119602,Edit Submission
2017-08-19 11:52:52,Carlos12cam,38,Instinct,,[Screenshot_20170819-114827.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/5c92eafScreenshot_20170819-114827.png,,[Screenshot_20170819-115153.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/b403895Screenshot_20170819-115153.png,,[Screenshot_20170819-115158.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/cc5190eScreenshot_20170819-115158.png,,199.119.233.136,3789671726317862941,Edit Submission
2017-08-19 11:53:17,GRAF3NB3RG,40,Instinct,37692434,[IMG_3512.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/8531dddIMG_3512.PNG,66635,[IMG_3514.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/ac3ba43IMG_3514.PNG,3700.5,[IMG_3513.PNG] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/e3d831aIMG_3513.PNG,,184.151.246.255,3789671975521586556,Edit Submission
2017-08-19 11:54:34,ripperz21,30,Instinct,2268023,[Screenshot_20170819-115219.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/39315dbScreenshot_20170819-115219.png,3697,[Screenshot_20170819-115343.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/3883155Screenshot_20170819-115343.png,335.1,[Screenshot_20170819-115404.png] https://www.jotform.com/widget-uploads/imagePreview/72297965219268/38b964aScreenshot_20170819-115404.png,,72.143.211.239,3789672749326800013,Edit Submission
