Submission Date,No Label,Username,Level,Team,Your Collector Badge Screenshot:,Collector Badge,No Label 2,IP,Submission ID,Edit Link
2017-07-22 15:55:43,,Vj3000ca,34,Instinct,[Screenshot_2017-07-22-14-35-04.jpeg] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/2f20d9eScreenshot_2017-07-22-14-35-04.jpeg,15326,,199.7.157.102,3765625432013718224,Edit Submission
2017-07-22 15:55:47,I only want to enter the random draw,Krys82105d,31,Mystic,,,,184.151.246.227,3765625477229288310,Edit Submission
2017-07-22 15:56:05,,Legacy15,35,Valor,[Screenshot_20170722-155505.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/d4a2f62Screenshot_20170722-155505.png,12923,,72.143.210.129,3765625659212611560,Edit Submission
2017-07-22 15:56:32,,Awaylemonade,33,Instinct,[Screenshot_20170722-155555.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/ea803bfScreenshot_20170722-155555.png,9586,,142.169.78.98,3765625928984034741,Edit Submission
2017-07-22 15:56:36,,Ginger029,34,Mystic,[Screenshot_20170722-155523.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/f30b53aScreenshot_20170722-155523.png,10281,,24.114.108.167,3765625967611824479,Edit Submission
2017-07-22 15:56:48,I only want to enter the random draw,Awaylemonade,33,Instinct,,,,142.169.78.98,3765626088983632092,Edit Submission
2017-07-22 15:56:50,,Magooc,35,Mystic,[Screenshot_20170722-155550.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/0117ceaScreenshot_20170722-155550.png,13039,,72.143.208.60,3765626100685113148,Edit Submission
2017-07-22 15:56:55,,Shouganai,35,Mystic,[Screenshot_20170722-155545.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/f99184fScreenshot_20170722-155545.png,13525,,24.114.107.107,3765626157016426373,Edit Submission
2017-07-22 15:56:56,,Patco81,27,Mystic,[Screenshot_20170722-155550.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/fcbb85bScreenshot_20170722-155550.png,2354,,72.143.209.200,3765626160028822636,Edit Submission
2017-07-22 15:56:58,I only want to enter the random draw,Professorsmoak3,28,Mystic,,,,24.114.86.141,3765626181414381395,Edit Submission
2017-07-22 15:57:09,,Designergirl42,31,Mystic,[Screenshot_20170722-155549.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/143583eScreenshot_20170722-155549.png,6610,,142.169.33.20,3765626290235259750,Edit Submission
2017-07-22 15:57:09,,168yoface,32,Mystic,[Screenshot_20170722-155625.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/12502fdScreenshot_20170722-155625.png,,,24.114.108.42,3765626292489610106,Edit Submission
2017-07-22 15:57:15,,Shaydekitty,35,Instinct,[Screenshot_20170722-155532.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/1a8ae66Screenshot_20170722-155532.png,18544,,204.48.92.20,3765626350227967796,Edit Submission
2017-07-22 15:57:36,,Bj3570,35,Instinct,[Screenshot_20170722-155633.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/2fa036cScreenshot_20170722-155633.png,,,24.114.86.161,3765626561612754893,Edit Submission
2017-07-22 15:57:38,,S63feeney,30,Mystic,[IMG_3538.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/3128ce8IMG_3538.PNG,4234,,24.114.82.223,3765626583228346114,Edit Submission
2017-07-22 15:57:47,,Lemondrop10,30,Mystic,[IMG_1563.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/3a74e6bIMG_1563.PNG,5942,,142.169.78.214,3765626674129455415,Edit Submission
2017-07-22 15:57:49,,Tyrmpatt,36,Instinct,[Screenshot_2017-07-22-15-56-32.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/3bad344Screenshot_2017-07-22-15-56-32.png,16562,,142.169.78.46,3765626696486225863,Edit Submission
2017-07-22 15:58:04,,Cormorant101,34,Instinct,[Screenshot_20170722-155617.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/4b2c110Screenshot_20170722-155617.png,11528,,142.169.78.205,3765626845026829611,Edit Submission
2017-07-22 15:58:05,,CrunplePants,31,Instinct,[Screenshot_20170722-155658.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/4143dacScreenshot_20170722-155658.png,5125,,72.143.209.190,3765626850919987681,Edit Submission
2017-07-22 15:58:08,,Infinitrize,40,Instinct,[Screenshot_20170722-155724.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/481d217Screenshot_20170722-155724.png,32245,,24.114.91.247,3765626887428983256,Edit Submission
2017-07-22 15:58:12,,SadEyebrows42,27,Mystic,[Screenshot_20170722-155640.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/52ba315Screenshot_20170722-155640.png,3233,,199.7.157.50,3765626920577039038,Edit Submission
2017-07-22 15:58:14,,HarukaYuriko,32,Valor,[Screenshot_20170722-155708.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/555ed17Screenshot_20170722-155708.png,8071,,24.114.80.127,3765626947217652795,Edit Submission
2017-07-22 15:58:23,,Vj3000ca,34,Instinct,[Screenshot_2017-07-22-15-56-36.jpeg] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/5dd4143Screenshot_2017-07-22-15-56-36.jpeg,,,199.7.157.102,3765627032016614705,Edit Submission
2017-07-22 15:58:31,,Derpypotatoes,22,Valor,[IMG_2436.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/42d24e9IMG_2436.PNG,935,,24.114.89.247,3765627117429137866,Edit Submission
2017-07-22 15:58:32,,Vj3000ca,34,Instinct,[Screenshot_2017-07-22-15-56-36.jpeg] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/5dd4143Screenshot_2017-07-22-15-56-36.jpeg,,,199.7.157.102,3765627122018733857,Edit Submission
2017-07-22 15:58:34,,AKickAssBeast,33,Instinct,[Screenshot_2017-07-22-15-57-32.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/69db507Screenshot_2017-07-22-15-57-32.png,7755,,72.143.212.40,3765627140427474065,Edit Submission
2017-07-22 15:58:41,,drew3687,33,Mystic,[Screenshot_20170722-155706.jpg] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/703780aScreenshot_20170722-155706.jpg,9138,,72.143.213.62,3765627212633634168,Edit Submission
2017-07-22 15:58:51,,Blackrosepika,30,Mystic,[Pokémon GO_2017-07-22-15-55-44.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/7aed24aPok%C3%A9mon%20GO_2017-07-22-15-55-44.png,7082,,24.114.109.29,3765627319291494794,Edit Submission
2017-07-22 15:58:52,,Miyamato02,34,Mystic,[IMG_0078.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/7bbbe2cIMG_0078.PNG,11773,,24.114.81.127,3765627327214228548,Edit Submission
2017-07-22 15:58:53,,Jackiethegoose,31,Mystic,[IMG_6705.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/7cd9eb0IMG_6705.PNG,5897,,142.169.78.227,3765627337221586876,Edit Submission
2017-07-22 15:59:11,I only want to enter the random draw,Carbohydra,35,Instinct,,,,142.169.78.223,3765627513225761318,Edit Submission
2017-07-22 15:59:14,,HeyItsUlrica,35,Mystic,[Screenshot_2017-07-22-15-57-12.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/914b7dcScreenshot_2017-07-22-15-57-12.png,14455,,142.169.78.227,3765627547228389490,Edit Submission
2017-07-22 15:59:22,,Janidash,27,Valor,[image.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/9905287image.png,2694,,24.114.91.29,3765627619215800340,Edit Submission
2017-07-22 15:59:26,,Exdeath86,36,Mystic,[Screenshot_2017-07-22-15-57-45.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/9d69cafScreenshot_2017-07-22-15-57-45.png,18856,,204.48.92.186,3765627666814876017,Edit Submission
2017-07-22 15:59:27,,DemiVictus,22,Mystic,[Pokémon GO_2017-07-22-15-58-05.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/9eecb03Pok%C3%A9mon%20GO_2017-07-22-15-58-05.png,1116,,24.114.108.171,3765627671712874532,Edit Submission
2017-07-22 15:59:34,I only want to enter the random draw,Aldinsan,35,Mystic,,,,24.114.85.195,3765627745913873826,Edit Submission
2017-07-22 15:59:36,,Pinkiiee,40,Mystic,[IMG_1985.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/a788076IMG_1985.PNG,41402,,204.48.79.39,3765627769399472287,Edit Submission
2017-07-22 15:59:47,,Coffeelax,32,Instinct,[Screenshot_20170722-155732.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/b23eb05Screenshot_20170722-155732.png,,,199.7.157.88,3765627878877963827,Edit Submission
2017-07-22 15:59:50,I only want to enter the random draw,Caro8334,33,Instinct,,,,72.143.214.192,3765627902911104270,Edit Submission
