Submission Date,No Label,Username,Level,Team,Your Collector Badge Screenshot:,Collector Badge,No Label 2,IP,Submission ID,Edit Link
2017-07-22 13:56:01,,Awaylemonade,33,Instinct,[Screenshot_20170722-135528.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/a925db5Screenshot_20170722-135528.png,9474,,142.169.78.98,3765553618985450104,Edit Submission
2017-07-22 13:56:03,,Shaydekitty,35,Instinct,[Screenshot_20170722-135424.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/b249768Screenshot_20170722-135424.png,18469,,204.48.93.182,3765553632812513570,Edit Submission
2017-07-22 13:56:05,,Theroyalfalcon,33,Valor,[Screenshot_20170722-135444.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/b4be4f1Screenshot_20170722-135444.png,13477,,72.143.213.177,3765553657714228117,Edit Submission
2017-07-22 13:56:09,I only want to enter the random draw,Professorsmoak3,28,Mystic,,,,24.114.86.141,3765553691418703166,Edit Submission
2017-07-22 13:56:11,I only want to enter the random draw,Awaylemonade,33,Instinct,,,,142.169.78.98,3765553718982348170,Edit Submission
2017-07-22 13:56:14,,Bj3570,35,Instinct,[Screenshot_20170722-135527.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/bd9f1b8Screenshot_20170722-135527.png,,,24.114.86.161,3765553741617789966,Edit Submission
2017-07-22 13:56:26,,Thedoctorperson,33,Mystic,[Screenshot_20170722-135526.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/c976904Screenshot_20170722-135526.png,8024,,199.7.157.81,3765553861878552024,Edit Submission
2017-07-22 13:56:29,,Krys82105d,31,Mystic,[IMG_5413.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/cbc4dd8IMG_5413.PNG,4485,,184.151.246.227,3765553897221423725,Edit Submission
2017-07-22 13:56:33,,AdInfinitas,26,Mystic,[Screenshot_20170722-135452.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/d0abf84Screenshot_20170722-135452.png,2174,,184.151.114.123,3765553933217073227,Edit Submission
2017-07-22 13:56:35,,Pinkiiee,40,Mystic,[IMG_1983.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/d2078e1IMG_1983.PNG,41321,,204.48.79.39,3765553959398915154,Edit Submission
2017-07-22 13:56:37,,Cormorant101,34,Instinct,[Screenshot_20170722-135520.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/d501170Screenshot_20170722-135520.png,11477,,142.169.78.205,3765553975024001840,Edit Submission
2017-07-22 13:56:41,,Magooc,35,Mystic,[Screenshot_20170722-135550.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/d86d132Screenshot_20170722-135550.png,12993,,72.143.209.198,3765554018912561867,Edit Submission
2017-07-22 13:56:53,I only want to enter the random draw,Niqiuye,34,Mystic,,,,24.114.104.189,3765554139811858561,Edit Submission
2017-07-22 13:57:02,,Lemondrop10,30,Mystic,[IMG_1562.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/ed0a948IMG_1562.PNG,5898,,142.169.78.214,3765554224122497977,Edit Submission
2017-07-22 13:57:04,,Infinitrize,40,Instinct,[Screenshot_20170722-135622.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/e563256Screenshot_20170722-135622.png,32120,,24.114.91.247,3765554247425098035,Edit Submission
2017-07-22 13:57:13,,AKickAssBeast,33,Instinct,[Screenshot_2017-07-22-13-55-34.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/f822074Screenshot_2017-07-22-13-55-34.png,,,72.143.212.40,3765554330429725561,Edit Submission
2017-07-22 13:57:14,I only want to enter the random draw,Niqiuye,34,Mystic,,,,24.114.104.189,3765554349815169583,Edit Submission
2017-07-22 13:57:23,,Ginger029,34,Mystic,[Screenshot_20170722-135527.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/02b9832Screenshot_20170722-135527.png,10235,,72.143.209.133,3765554433317831045,Edit Submission
2017-07-22 13:57:27,,Hashable,33,Instinct,[Screenshot_20170722-135556.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/066f318Screenshot_20170722-135556.png,8932,,142.169.78.32,3765554472385372049,Edit Submission
2017-07-22 13:57:35,,FERRETRED,32,Valor,[Screenshot_20170722-135628.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/fab55d7Screenshot_20170722-135628.png,8833,,184.151.246.9,3765554559649517196,Edit Submission
2017-07-22 13:57:54,I only want to enter the random draw,Kmbm91,32,Mystic,,,,24.114.24.190,3765554740914346227,Edit Submission
2017-07-22 13:57:59,,CrumplePants,31,Instinct,[Screenshot_20170722-135503.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/2637116Screenshot_20170722-135503.png,5078,,72.143.208.156,3765554796513688636,Edit Submission
2017-07-22 13:58:00,,Superhound,32,Instinct,[IMG_3459.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/1bce87fIMG_3459.PNG,8051,,142.169.78.149,3765554809419632385,Edit Submission
2017-07-22 13:58:01,,Nomihomee,29,Instinct,[Screenshot_20170722-135528.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/284dd86Screenshot_20170722-135528.png,4044,,24.114.108.29,3765554819283770205,Edit Submission
2017-07-22 13:58:11,,Niqiuye,34,Mystic,[IMG_3205.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/329784fIMG_3205.PNG,13045,,24.114.104.189,3765554919818551459,Edit Submission
2017-07-22 13:58:13,,Miyamato02,34,Mystic,[IMG_0076.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/33ee926IMG_0076.PNG,11715,,24.114.88.223,3765554933224789162,Edit Submission
2017-07-22 13:58:18,,Tyrmpatt,36,Instinct,[Screenshot_2017-07-22-13-56-55.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/389c4e8Screenshot_2017-07-22-13-56-55.png,16523,,199.7.157.82,3765554982874272416,Edit Submission
2017-07-22 13:58:27,,Shouganai,35,Mystic,[Screenshot_20170722-135728.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/37684faScreenshot_20170722-135728.png,13446,,24.114.107.107,3765555077017612010,Edit Submission
2017-07-22 13:58:36,I only want to enter the random draw,3Redragon13,24,Valor,,,,24.114.89.38,3765555168397447204,Edit Submission
2017-07-22 13:58:39,,Designergirl42,30,Mystic,[Screenshot_20170722-135600.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/4e9c233Screenshot_20170722-135600.png,6574,,142.169.33.20,3765555190234402949,Edit Submission
2017-07-22 13:58:42,,HRStrategist,33,Valor,[IMG_0136.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/5147ccaIMG_0136.PNG,11292,,184.151.246.13,3765555223168752912,Edit Submission
2017-07-22 13:58:58,,Coffeelax,32,Instinct,[Screenshot_20170722-135807.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/61300dfScreenshot_20170722-135807.png,,,199.119.233.225,3765555385226117544,Edit Submission
2017-07-22 13:59:02,,Pasmonchat,32,Mystic,[IMG_3054.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/3f74faeIMG_3054.PNG,,,184.151.246.80,3765555410863218062,Edit Submission
2017-07-22 13:59:23,,HarukaYuriko,32,Valor,[Screenshot_20170722-135735.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/7ab6237Screenshot_20170722-135735.png,8018,,24.114.80.203,3765555633027284689,Edit Submission
2017-07-22 13:59:34,,Vj3000ca,34,Instinct,[Screenshot_2017-07-22-13-57-48.jpeg] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/84a22d0Screenshot_2017-07-22-13-57-48.jpeg,15326,,199.7.157.102,3765555742015904798,Edit Submission
2017-07-22 13:59:41,,S63feeney,30,Mystic,[IMG_3534.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/8cb91c5IMG_3534.PNG,4178,,24.114.90.137,3765555817312491949,Edit Submission
2017-07-22 13:59:48,,Dano,30,Instinct,[Screenshot_20170722-135612.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/9351cb8Screenshot_20170722-135612.png,4937,,199.119.233.137,3765555887319348592,Edit Submission
2017-07-22 13:59:48,,Snootypubert,30,Instinct,[IMG_3579.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/93a7cf0IMG_3579.PNG,,,184.151.246.68,3765555888668122373,Edit Submission
2017-07-22 14:00:19,,8Dano1,30,Instinct,,4937,,199.119.233.137,3765556197318640674,Edit Submission
2017-07-22 14:00:40,I only want to enter the random draw,Credo2142,35,Mystic,,,,24.114.104.179,3765556409718997080,Edit Submission
2017-07-22 14:00:41,,Niqiuye,34,Mystic,[IMG_3206.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/c8b965eIMG_3206.PNG,13076,,24.114.104.189,3765556419816544759,Edit Submission
2017-07-22 14:00:48,,LeafNinjaDawg,38,Instinct,[IMG_1174.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/cf116d4IMG_1174.PNG,37457,,24.114.81.27,3765556487216943087,Edit Submission
2017-07-22 14:00:51,,Bloberticus,30,Instinct,[IMG_6326.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/d27a9c7IMG_6326.PNG,5688,,184.151.246.22,3765556512265503106,Edit Submission
2017-07-22 14:00:52,,Pelicangina,33,Mystic,[IMG_7249.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/d3289d1IMG_7249.PNG,,,174.201.18.153,3765556523517808711,Edit Submission
2017-07-22 14:01:20,,Patco81,27,Mystic,[Screenshot_20170722-135745.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/dac10acScreenshot_20170722-135745.png,2317,,72.143.213.34,3765556794337577364,Edit Submission
2017-07-22 14:01:21,,RunningPsyduck,29,Mystic,[IMG_1901.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/ede5fd3IMG_1901.PNG,5359,,24.114.84.15,3765556815144667620,Edit Submission
2017-07-22 14:01:40,,Niqiuye,34,Mystic,[IMG_3207.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/03ca307IMG_3207.PNG,13084,,24.114.104.189,3765557009819819717,Edit Submission
2017-07-22 14:01:46,,Taiica,31,Instinct,[Screenshot_20170722-135919.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/08e2dd6Screenshot_20170722-135919.png,6465,,204.48.95.50,3765557060558358096,Edit Submission
2017-07-22 14:02:18,,Credo2142,35,Mystic,[IMG_6588.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/1d60d81IMG_6588.PNG,14535,,24.114.104.179,3765557389712026831,Edit Submission
2017-07-22 14:04:46,,Ghostea,32,Mystic,[IMG_3500.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/87e270fIMG_3500.PNG,7677,,142.169.78.24,3765558864285476211,Edit Submission
2017-07-22 14:04:48,,OinkyBoinky,37,Mystic,[Screenshot_20170722-135736.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/bf9da6aScreenshot_20170722-135736.png,26237,,72.143.213.187,3765558887811218927,Edit Submission
2017-07-22 14:05:26,,DemiVictus,22,Mystic,[Pokémon GO_2017-07-22-13-55-34.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/e4a4905Pok%C3%A9mon%20GO_2017-07-22-13-55-34.png,1054,,24.114.108.171,3765559261712229126,Edit Submission
2017-07-22 14:06:18,,MaestroKurt,31,Mystic,[Screenshot_20170722-140309.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/17ce793Screenshot_20170722-140309.png,7599,,24.114.104.247,3765559787422236765,Edit Submission
2017-07-22 14:09:38,,Carlos12cam,27,Instinct,[Screenshot_20170722-135448.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/e11d074Screenshot_20170722-135448.png,,,199.119.233.218,3765561788124046586,Edit Submission
2017-07-22 14:09:46,,kmbm0591,32,Mystic,[Screenshot_20170722-140725.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/e90a1efScreenshot_20170722-140725.png,6962,,24.114.24.190,3765561860919280401,Edit Submission
2017-07-22 14:10:33,,Michyangel,28,Mystic,,2864,,24.114.85.195,3765562335912661952,Edit Submission
2017-07-22 14:15:03,,TifamarooRise,35,Mystic,[IMG_2412.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/18d1198IMG_2412.PNG,17895,,24.114.82.180,3765565030819908249,Edit Submission
2017-07-22 14:17:59,,DoritolordN,25,Valor,[IMG_0163.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/d5cae5dIMG_0163.PNG,1445,,142.169.78.55,3765566795581460223,Edit Submission
2017-07-22 14:29:15,,Infinitrize,40,Instinct,[Screenshot_20170722-142851.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/6eb9a16Screenshot_20170722-142851.png,32166,,24.114.91.247,3765573557426727246,Edit Submission
2017-07-22 14:29:22,I only want to enter the random draw,3Redragon13,24,Valor,,,,24.114.89.38,3765573618393180468,Edit Submission
2017-07-22 14:29:47,,AKickAssBeast,33,Instinct,[Screenshot_2017-07-22-14-29-05.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/9a89749Screenshot_2017-07-22-14-29-05.png,,,72.143.212.40,3765573870424616188,Edit Submission
2017-07-22 14:30:16,,Patco81,27,Mystic,[Screenshot_20170722-135745.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/dac10acScreenshot_20170722-135745.png,2317,,72.143.213.34,3765574164331426228,Edit Submission
2017-07-22 14:30:37,,Awaylemonade,33,Instinct,[Screenshot_20170722-142941.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/c4d5076Screenshot_20170722-142941.png,9522,,142.169.78.98,3765574378983059414,Edit Submission
2017-07-22 14:30:52,,Niqiuye,34,Mystic,[IMG_3207.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/03ca307IMG_3207.PNG,13084,,24.114.104.189,3765574529819537070,Edit Submission
2017-07-22 14:31:12,,DoritolordN,25,Valor,[IMG_0163.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/d5cae5dIMG_0163.PNG,1445,,142.169.78.55,3765574725582028664,Edit Submission
2017-07-22 14:31:16,,Pasmonchat,32,Mystic,[IMG_3054.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/eddf773IMG_3054.PNG,,,184.151.246.159,3765574769517209841,Edit Submission
2017-07-22 14:31:17,,102hayler,24,Valor,[Screenshot_20170722-135536.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/f4e33c6Screenshot_20170722-135536.png,1907,,72.143.211.103,3765574773013277078,Edit Submission
2017-07-22 14:31:19,,S63feeney,30,Mystic,[IMG_3536.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/f632dcaIMG_3536.PNG,4229,,24.114.90.137,3765574797311158504,Edit Submission
2017-07-22 14:31:23,,Tyrmpatt,36,Instinct,[Screenshot_2017-07-22-13-56-55.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/389c4e8Screenshot_2017-07-22-13-56-55.png,16523,,142.169.78.46,3765574836481367257,Edit Submission
2017-07-22 14:31:23,,Patco81,27,Mystic,[Screenshot_20170722-142929.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/faad075Screenshot_20170722-142929.png,2351,,72.143.213.34,3765574834338206163,Edit Submission
2017-07-22 14:31:24,,FERRETRED,32,Valor,[Screenshot_20170722-135628.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/fab55d7Screenshot_20170722-135628.png,8833,,184.151.246.9,3765574849649798141,Edit Submission
2017-07-22 14:31:27,,Thedoctorperson,33,Mystic,[Screenshot_20170722-135526.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/c976904Screenshot_20170722-135526.png,8024,,199.7.157.81,3765574871876079651,Edit Submission
2017-07-22 14:31:34,,Magooc,35,Mystic,[Screenshot_20170722-143043.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/05aa073Screenshot_20170722-143043.png,13034,,72.143.209.198,3765574948915843605,Edit Submission
2017-07-22 14:31:34,,8Dano1,30,Instinct,[Screenshot_20170722-143040.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/05a22eeScreenshot_20170722-143040.png,4981,,199.119.233.137,3765574947314609928,Edit Submission
2017-07-22 14:31:39,,Shmoo1992,28,Mystic,[IMG_9456.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/0a90437IMG_9456.PNG,4127,,24.114.89.203,3765574993023134116,Edit Submission
2017-07-22 14:31:41,,DemiVictus,22,Mystic,[Pokémon GO_2017-07-22-14-30-48.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/0c1edebPok%C3%A9mon%20GO_2017-07-22-14-30-48.png,1095,,24.114.108.171,3765575011711275777,Edit Submission
2017-07-22 14:31:42,,Shouganai,35,Mystic,[Screenshot_20170722-143102.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/052c542Screenshot_20170722-143102.png,13484,,24.114.107.107,3765575027011901445,Edit Submission
2017-07-22 14:31:42,,Taiica,31,Instinct,[Screenshot_20170722-143046.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/0dad63dScreenshot_20170722-143046.png,6514,,204.48.95.50,3765575020551976090,Edit Submission
2017-07-22 14:31:43,,Niqiuye,34,Mystic,[IMG_3208.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/0e0c82cIMG_3208.PNG,13112,,24.114.104.189,3765575029815052164,Edit Submission
2017-07-22 14:31:46,,LoisLane37,34,Valor,[IMG_7191.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/0f8f50fIMG_7191.PNG,,,24.114.85.213,3765575063128146815,Edit Submission
2017-07-22 14:31:47,,102hayler,24,Valor,[Screenshot_20170722-143012.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/12a7ec1Screenshot_20170722-143012.png,1944,,72.143.211.103,3765575073015567455,Edit Submission
2017-07-22 14:31:48,,Miyamato02,34,Mystic,[IMG_0077.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/13c43b1IMG_0077.PNG,11760,,24.114.88.223,3765575083223497013,Edit Submission
2017-07-22 14:31:49,,HarukaYuriko,32,Valor,[Screenshot_20170722-143044.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/142a648Screenshot_20170722-143044.png,8062,,24.114.80.203,3765575093029602306,Edit Submission
2017-07-22 14:31:50,,Superhound,32,Instinct,[IMG_3460.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/0ea5e4bIMG_3460.PNG,8081,,142.169.78.251,3765575101528469353,Edit Submission
2017-07-22 14:31:50,,Pinkiiee,40,Mystic,[IMG_1984.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/158fa6aIMG_1984.PNG,41380,,204.48.79.39,3765575109397218090,Edit Submission
2017-07-22 14:31:50,,Blackrosepika,30,Mystic,[Pokémon GO_2017-07-22-13-54-45.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/1575eddPok%C3%A9mon%20GO_2017-07-22-13-54-45.png,7028,,24.114.109.29,3765575109294173676,Edit Submission
2017-07-22 14:31:54,,Ginger029,34,Mystic,[Screenshot_20170722-143038.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/191bc71Screenshot_20170722-143038.png,10278,,72.143.209.133,3765575133311152083,Edit Submission
2017-07-22 14:31:54,,Pelicangina,34,Mystic,[IMG_7251.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/18d9c4dIMG_7251.PNG,10410,,174.201.18.153,3765575143513553216,Edit Submission
2017-07-22 14:31:58,,HRStrategist,33,Valor,[IMG_0137.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/1d7a565IMG_0137.PNG,11333,,184.151.246.13,3765575183163318605,Edit Submission
2017-07-22 14:32:00,,Theroyalfalcon,33,Valor,[Screenshot_20170722-143118.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/1d65486Screenshot_20170722-143118.png,13528,,72.143.213.177,3765575207719889671,Edit Submission
2017-07-22 14:32:01,,Matthewr3000,25,Mystic,[IMG_0448.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/208ac72IMG_0448.PNG,,,24.114.83.2,3765575212384451159,Edit Submission
2017-07-22 14:32:01,,Credo2142,35,Mystic,[IMG_6589.PNG] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/20b2b7aIMG_6589.PNG,14583,,24.114.104.179,3765575219718585136,Edit Submission
2017-07-22 14:32:06,I only want to enter the random draw,FERRETRED,32,Valor,,,,184.151.246.9,3765575269645842587,Edit Submission
2017-07-22 14:32:10,,AdInfinitas,26,Mystic,[Screenshot_20170722-143049.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/29ca282Screenshot_20170722-143049.png,2228,,184.151.114.123,3765575303215970630,Edit Submission
2017-07-22 14:32:12,,Carlos12cam,27,Instinct,[Screenshot_20170722-135448.png] https://www.jotform.com/widget-uploads/imagePreview/72017688419262/e11d074Screenshot_20170722-135448.png,,,199.119.233.218,3765575328122154739,Edit Submission
