Submission Date,Username,Level,Total XP,Collector Badge,Jogger Badge,Team,XP Screenshot,Collector Badge Screenshot,Jogger Badge Screenshot,No Label,IP,Submission ID,Edit Link
2017-01-21 11:49:09,Avalai,29,1658779,4824,404.9,Instinct,,,,,184.151.246.14,360826548416581541,Edit Submission
2017-01-21 11:50:41,lXlWingZerolXl,38,12356731,29554,1460,Mystic,[IMG_1227.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/2b66b95IMG_1227.PNG,[IMG_1225.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/3d5d6dcIMG_1225.PNG,[IMG_1226.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/58f19e7IMG_1226.PNG,,24.114.105.88,360826641885901723,Edit Submission
2017-01-21 11:52:12,EhYoImaMonkey,27,1242937,3791,256.6,Instinct,[Screenshot_20170121-115038.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/9aed9b0Screenshot_20170121-115038.png,[Screenshot_20170121-115045.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/ba31145Screenshot_20170121-115045.png,[Screenshot_20170121-115051.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/b67b532Screenshot_20170121-115051.png,,142.169.78.162,360826732261992343,Edit Submission
2017-01-21 11:52:58,Slytaco101,17,149574,390,26,Mystic,[IMG_0345.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/e764ad3IMG_0345.PNG,[IMG_0347.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/e6de2d2IMG_0347.PNG,[IMG_0346.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/e72804cIMG_0346.PNG,,184.151.246.3,360826778364421359,Edit Submission
2017-01-21 11:53:38,SimplyMoxie,40,21480508,45351,2251,Mystic,[Screenshot_20170121-115308.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/112bcb8Screenshot_20170121-115308.png,[Screenshot_20170121-115241.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/0cc3461Screenshot_20170121-115241.png,[Screenshot_20170121-115252.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/0cde465Screenshot_20170121-115252.png,,24.114.93.59,360826818953587568,Edit Submission
2017-01-21 11:54:09,Thegamer0824,20,253019,618,92.3,Valor,,,,,184.151.246.104,360826849401903638,Edit Submission
2017-01-21 11:57:16,KyloKazam,33,3923689,10710,1041.9,Instinct,[IMG_4540.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/ea2762eIMG_4540.PNG,[IMG_4541.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/eae4152IMG_4541.PNG,[IMG_4542.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/ea73f46IMG_4542.PNG,,184.151.246.104,360827036401941726,Edit Submission
2017-01-21 11:58:46,86StephE,31,2751490,6338,899,Mystic,[IMG_0349.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/43e7243IMG_0349.PNG,[IMG_0350.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/4368db6IMG_0350.PNG,[IMG_0351.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/4337298IMG_0351.PNG,,184.151.246.3,360827126364593689,Edit Submission
2017-01-21 11:59:06,Infinitrize,35,6483320,14511,1252.6,Instinct,[Screenshot_2017-01-21-11-56-55.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/1b76a9fScreenshot_2017-01-21-11-56-55.png,[Screenshot_2017-01-21-11-57-15.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/29e4ee2Screenshot_2017-01-21-11-57-15.png,[Screenshot_2017-01-21-11-57-11.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/359d12eScreenshot_2017-01-21-11-57-11.png,,142.169.78.229,360827146922165199,Edit Submission
2017-01-21 11:59:09,SodomEyes,32,3057190,9454,1015.1,Instinct,[IMG_1559.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/5c383e9IMG_1559.PNG,[IMG_1560.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/5bed382IMG_1560.PNG,[IMG_1561.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70016262448249/5c3b2f9IMG_1561.PNG,,184.151.246.30,360827149036932565,Edit Submission
