Submission Date,Username,Level,Team,Total XP,Your XP Screenshot:,Collector Badge,Your Collector Badge Screenshot:,Jogger Badge,Your Jogger Badge Screenshot:,No Label,IP,Submission ID,Edit Link
2017-07-15 12:00:17,WingZero,40,Mystic,33883340,Verified,64046,Verified,2531.6,Verified,,,,
2017-07-15 11:48:17,Vandermear,33,Mystic,4276807,[Capture+_2017-07-15-11-45-34.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/3fb0870Capture%2B_2017-07-15-11-45-34.png,9303,[Capture+_2017-07-15-11-47-15.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/401233cCapture%2B_2017-07-15-11-47-15.png,933.5,[Capture+_2017-07-15-11-47-50.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/3fbc721Capture%2B_2017-07-15-11-47-50.png,,184.151.246.214,3759428974125668387,Edit Submission
2017-07-15 11:48:33,Rippopottamus,37,Instinct,1083753,[IMG_1068.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/509b8bfIMG_1068.PNG,23175,[IMG_1069.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/50687deIMG_1069.PNG,2805.9,[IMG_1070.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/5067799IMG_1070.PNG,,142.169.78.141,3759429131413407524,Edit Submission
2017-07-15 11:48:39,Shaydekitty,35,Instinct,6690480,[Screenshot_20170715-112219.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/563c66aScreenshot_20170715-112219.png,17871,[Screenshot_20170715-112241.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/561d642Screenshot_20170715-112241.png,2031.1,[Screenshot_20170715-112231.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/56214b0Screenshot_20170715-112231.png,,204.48.77.76,3759429196775244804,Edit Submission
2017-07-15 11:48:53,Xeviana,24,Mystic,16502,[Screenshot_20170715-114648.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/64c6ff7Screenshot_20170715-114648.png,0,[Screenshot_20170715-114749.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6462ae5Screenshot_20170715-114749.png,0,[Screenshot_20170715-114756.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/642cb99Screenshot_20170715-114756.png,,142.169.78.169,3759429339617984874,Edit Submission
2017-07-15 11:49:07,Tp0t,39,Instinct,3804682,[IMG_1810.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/10a3aebIMG_1810.PNG,32041,[IMG_1814.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/38ce8d6IMG_1814.PNG,1657.6,[IMG_1815.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/5e3015eIMG_1815.PNG,,184.151.246.146,3759429476412906395,Edit Submission
2017-07-15 11:49:28,GRAF3NB3RG,40,Instinct,32953399,[IMG_7523.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/78d5b45IMG_7523.PNG,60473,[IMG_7524.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/7d43522IMG_7524.PNG,3437.7,[IMG_7525.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/82d2b78IMG_7525.PNG,,184.151.246.221,3759429681229878478,Edit Submission
2017-07-15 11:49:33,Infinitrize,40,Instinct,20627383,[Screenshot_20170715-114528.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/d44f784Screenshot_20170715-114528.png,31235,[Screenshot_20170715-114544.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e402c24Screenshot_20170715-114544.png,2461.5,[Screenshot_20170715-114540.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/f8c85b4Screenshot_20170715-114540.png,,24.114.103.108,3759429738012389180,Edit Submission
2017-07-15 11:49:33,Awaylemonade,33,Instinct,729215,[Screenshot_20170715-114444.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c31da47Screenshot_20170715-114444.png,8970,[Screenshot_20170715-114541.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/bf5f7b4Screenshot_20170715-114541.png,805.2,[Screenshot_20170715-114622.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e5b486dScreenshot_20170715-114622.png,,142.169.78.211,3759429731126314304,Edit Submission
2017-07-15 11:50:43,Caro8334,33,Instinct,725339,[Screenshot_2017-07-15-11-47-11.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/8a965d5Screenshot_2017-07-15-11-47-11.png,11066,[Screenshot_2017-07-15-11-49-05.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/86efb39Screenshot_2017-07-15-11-49-05.png,911,[Screenshot_2017-07-15-11-49-52.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/b27b14bScreenshot_2017-07-15-11-49-52.png,,72.143.211.102,3759430432019545316,Edit Submission
2017-07-15 11:51:25,Xolgren,30,Instinct,163052,[IMG_0648.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/fc6d344IMG_0648.PNG,4738,[IMG_0650.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/fc0626cIMG_0650.PNG,452.4,[IMG_0649.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/fbccea2IMG_0649.PNG,,184.151.246.14,3759430854165562267,Edit Submission
2017-07-15 11:51:34,Carbohydra,35,Instinct,1107632,[IMG_1377.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/484f0afIMG_1377.PNG,17202,[IMG_1378.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c3e3a3aIMG_1378.PNG,1946.5,[IMG_1379.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e2daa39IMG_1379.PNG,,142.169.78.140,3759430940418895659,Edit Submission
2017-07-15 11:52:40,Kytzzzzzz,30,Instinct,344694,[Screenshot_20170715-114812.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/4718a1eScreenshot_20170715-114812.png,5289,[Screenshot_20170715-115039.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/46eda16Screenshot_20170715-115039.png,395.8,[Screenshot_20170715-115103.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/4614307Screenshot_20170715-115103.png,,184.151.246.135,3759431605311764737,Edit Submission
2017-07-15 11:54:31,Hashable,32,Instinct,595883,[Screenshot_20170715-114713.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/b59b858Screenshot_20170715-114713.png,8382,[Screenshot_20170715-114828.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/b5510faScreenshot_20170715-114828.png,778.5,[Screenshot_20170715-114814.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/b4b4daaScreenshot_20170715-114814.png,,142.169.78.203,3759432713028273161,Edit Submission
2017-07-15 11:54:41,Joueurbeta,27,Instinct,73131,,2641,[Screenshot_2017-07-15-11-53-24.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c088b34Screenshot_2017-07-15-11-53-24.png,225.6,[Screenshot_2017-07-15-11-53-33.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c04ff6fScreenshot_2017-07-15-11-53-33.png,,184.151.246.35,3759432815363337580,Edit Submission
2017-07-15 11:57:34,Apohcalypse,40,Mystic,23012926,[IMG_2542.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6b77580IMG_2542.PNG,0,[IMG_2543.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6d47009IMG_2543.PNG,0,[IMG_2544.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6b86b21IMG_2544.PNG,,142.169.78.149,3759434549419860094,Edit Submission
2017-07-15 11:58:13,Jackiethegoose,30,Mystic,453656,[IMG_6558.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/94aac0cIMG_6558.PNG,5695,[IMG_6559.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/94147aaIMG_6559.PNG,817.5,[IMG_6560.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/93a2442IMG_6560.PNG,,24.114.107.179,3759434939719429146,Edit Submission
2017-07-15 11:58:24,Ninjatsu97,37,Mystic,9934796,[Screenshot_20170715-115556.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/9ece276Screenshot_20170715-115556.png,17536,[Screenshot_20170715-115530.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/9e9abc5Screenshot_20170715-115530.png,710.3,[Screenshot_20170715-115544.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/9e11815Screenshot_20170715-115544.png,,142.169.78.207,3759435047027050602,Edit Submission
2017-07-15 11:59:23,Shouganai,34,Mystic,1189085,[Screenshot_20170715-115453.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/93f1329Screenshot_20170715-115453.png,13027,[Screenshot_20170715-115729.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/9d005dfScreenshot_20170715-115729.png,1439.5,[Screenshot_20170715-115835.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/ce25871Screenshot_20170715-115835.png,,24.114.91.98,3759435638917296183,Edit Submission
2017-07-15 12:01:48,Mitchman91,39,Mystic,18007142,[image.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6b703f9image.png,39889,,1718,[image.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6b7ed45image.png,,142.169.78.210,3759437080127367321,Edit Submission
2017-07-15 12:03:05,Simplymoxie,40,Mystic,61375194,[IMG_0387.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/d4d956aIMG_0387.PNG,109497,[IMG_0388.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/fccef30IMG_0388.PNG,4166.2,[IMG_0389.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/2e5b4baIMG_0389.PNG,,204.48.79.91,3759437851997827827,Edit Submission
2017-07-15 12:06:20,katarzi,28,Instinct,133887,[IMG_5678.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/7958cceIMG_5678.PNG,3501,[IMG_5679.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/78e13deIMG_5679.PNG,639.1,[IMG_5680.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/7a1d633IMG_5680.PNG,,142.169.78.192,3759439802913656471,Edit Submission
2017-07-15 12:08:23,Pokemonster819,31,Mystic,2734017,[IMG_4428.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/f60528dIMG_4428.PNG,6764,[IMG_4429.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/f61146dIMG_4429.PNG,488.5,[IMG_4430.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/f5e4c16IMG_4430.PNG,,184.151.246.244,3759441034428144896,Edit Submission
2017-07-15 12:09:56,AriCardinal,15,Mystic,1904,,,[IMG_0046.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/5306de7IMG_0046.PNG,17,[IMG_0049.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/52975a1IMG_0049.PNG,,204.48.77.143,3759441963417312016,Edit Submission
2017-07-15 12:11:56,frankemporium,29,Instinct,93692,[Screenshot_20170715-120945.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/a28fcb8Screenshot_20170715-120945.png,5050,[Screenshot_20170715-120952.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c6d9ae7Screenshot_20170715-120952.png,380.4,[Screenshot_20170715-121004.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c0a3da0Screenshot_20170715-121004.png,,24.114.80.69,3759443169607737959,Edit Submission
2017-07-15 12:12:26,Urrsis,37,Valor,9656693,[Screenshot_20170715-121010.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e9914a7Screenshot_20170715-121010.png,21053,[Screenshot_20170715-121025.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e969fe6Screenshot_20170715-121025.png,2252.9,[Screenshot_20170715-121018.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e95e969Screenshot_20170715-121018.png,,204.48.92.73,3759443463722441645,Edit Submission
2017-07-15 12:15:02,xIzanamii,29,Mystic,0,,3845,Verified stat,0,,,72.143.208.196,3759445026915844956,Edit Submission
2017-07-15 12:16:40,lolbestguyever,17,Mystic,1535,[Screenshot_20170715-121255.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c16cd1bScreenshot_20170715-121255.png,275,[Screenshot_20170715-121306.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/d3ed3eaScreenshot_20170715-121306.png,20.9,[Screenshot_20170715-121324.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e4b6faaScreenshot_20170715-121324.png,,24.114.80.69,3759446009603179124,Edit Submission
2017-07-15 12:20:18,OttSun,37,Instinct,775162,[IMG_4121.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c037cd2IMG_4121.PNG,20599,[IMG_4123.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c0ee909IMG_4123.PNG,1539.8,[IMG_4122.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c0cfc83IMG_4122.PNG,,184.151.246.114,3759448184118605691,Edit Submission
2017-07-15 12:20:24,AldinSan,35,Mystic,7201703,[IMG_1064.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/97b0778IMG_1064.PNG,15721,[IMG_1065.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c7165c5IMG_1065.PNG,838,[IMG_1066.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c6dc623IMG_1066.PNG,,24.114.88.16,3759448246185784822,Edit Submission
2017-07-15 12:20:41,Cormorant101,34,Instinct,615802,[Screenshot_20170715-121232.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/d84ea5eScreenshot_20170715-121232.png,11106,[Screenshot_20170715-121205.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/d7df254Screenshot_20170715-121205.png,1036.1,[Screenshot_20170715-121152.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/d7ecfe5Screenshot_20170715-121152.png,,142.169.78.33,3759448413388489615,Edit Submission
2017-07-15 12:21:08,GoldeenFTW,34,Valor,515385,[IMG_8171.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/a956d80IMG_8171.PNG,11249,[IMG_8173.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/efb6fecIMG_8173.PNG,1304.1,[IMG_8172.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/f36f5caIMG_8172.PNG,,142.169.78.166,3759448686617508778,Edit Submission
2017-07-15 13:46:19,Awaylemonade,33,Instinct,774752,[Screenshot_20170715-134501.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/ae4bd1eScreenshot_20170715-134501.png,9070,[Screenshot_20170715-134528.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/cb9ee86Screenshot_20170715-134528.png,811,[Screenshot_20170715-134341.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e73ef70Screenshot_20170715-134341.png,,142.169.78.211,3759499791129301212,Edit Submission
2017-07-15 13:46:22,Hashable,32,Instinct,616936,,8469,,781.9,,,142.169.78.203,3759499823027039815,Edit Submission
2017-07-15 13:46:48,Tp0t,39,Instinct,3886871,[IMG_1818.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/d48be57IMG_1818.PNG,32150,[IMG_1820.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e6438f4IMG_1820.PNG,1663,[IMG_1819.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/f4b3bafIMG_1819.PNG,,184.151.246.146,3759500086415752796,Edit Submission
2017-07-15 13:48:31,Rippopottamus,37,Instinct,1135691,[IMG_1071.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6eb73e9IMG_1071.PNG,23276,[IMG_1072.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6e905f6IMG_1072.PNG,2812,[IMG_1073.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6e87d79IMG_1073.PNG,,142.169.78.141,3759501111416537747,Edit Submission
2017-07-15 13:48:37,Infinitrize,40,Instinct,20783324,[Screenshot_20170715-134706.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/41e4624Screenshot_20170715-134706.png,31389,[Screenshot_20170715-134659.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/514f1aaScreenshot_20170715-134659.png,2471.7,[Screenshot_20170715-134652.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/631e854Screenshot_20170715-134652.png,,24.114.103.108,3759501178017450358,Edit Submission
2017-07-15 13:49:42,GRAF3NB3RG,40,Instinct,33024960,[IMG_7531.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/8e9169aIMG_7531.PNG,60633,[IMG_7529.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/9f4908dIMG_7529.PNG,3443.2,[IMG_7530.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/b2cadf4IMG_7530.PNG,,184.151.246.173,3759501823713241427,Edit Submission
2017-07-15 13:55:10,Vandermear,33,Mystic,4291110,[Capture+_2017-07-15-13-45-13.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/fcf3876Capture%2B_2017-07-15-13-45-13.png,9355,[Capture+_2017-07-15-13-46-01.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/fcc4ec7Capture%2B_2017-07-15-13-46-01.png,936.8,[Capture+_2017-07-15-13-45-26.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/fcd57ffCapture%2B_2017-07-15-13-45-26.png,,184.151.246.214,3759505104121654090,Edit Submission
2017-07-15 13:55:58,Ninjatsu97,37,Mystic,9961053,,17655,,716.6,,,142.169.78.207,3759505587021213277,Edit Submission
2017-07-15 13:56:09,Apohcalypse,40,Mystic,23031957,[Screenshot_20170715-135418.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/3814890Screenshot_20170715-135418.png,0,,0,,,142.169.193.161,3759505691612441498,Edit Submission
2017-07-15 13:57:03,Xolgren,30,Instinct,223974,[IMG_0651.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6ec8b46IMG_0651.PNG,4877,[IMG_0652.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6e5583fIMG_0652.PNG,457.5,[IMG_0653.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6e183b9IMG_0653.PNG,,184.151.246.14,3759506234169856493,Edit Submission
2017-07-15 13:57:58,Shaydekitty,35,Instinct,6727395,[Screenshot_20170715-135218.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/a4d833eScreenshot_20170715-135218.png,17998,[Screenshot_20170715-135347.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/a441abfScreenshot_20170715-135347.png,2035.7,[Screenshot_20170715-135245.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/a4d00feScreenshot_20170715-135245.png,,204.48.77.76,3759506786773754981,Edit Submission
2017-07-15 13:59:18,WingZero,40,Mystic,33950875,[IMG_4069.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/b58b818IMG_4069.PNG,64187,[IMG_4070.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/d8e7d76IMG_4070.PNG,2539.1,[IMG_4071.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/eb956abIMG_4071.PNG,,24.114.88.88,3759507588889229993,Edit Submission
2017-07-15 13:59:27,xIzanamii,29,Mystic,0,,3933,Reasonable Increase,0,,,24.114.108.92,3759507672989183463,Edit Submission
2017-07-15 13:59:39,Aldinsan,35,Mystic,7238338,[IMG_1068.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/09dacc0IMG_1068.PNG,15841,[IMG_1069.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/0a2c11fIMG_1069.PNG,844,[IMG_1070.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/088875cIMG_1070.PNG,,24.114.88.16,3759507796188426365,Edit Submission
2017-07-15 13:59:58,Shouganai,35,Mystic,11031,[Screenshot_20170715-135644.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c009409Screenshot_20170715-135644.png,13141,[Screenshot_20170715-135702.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/f7602b7Screenshot_20170715-135702.png,1441,[Screenshot_20170715-135711.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/0f14a9cScreenshot_20170715-135711.png,,24.114.91.98,3759507988919313099,Edit Submission
2017-07-15 14:00:18,Cormorant101,34,Instinct,826662,[Screenshot_20170715-135646.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/31e44eaScreenshot_20170715-135646.png,11216,[Screenshot_20170715-135709.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/31a0cfeScreenshot_20170715-135709.png,1042.4,[Screenshot_20170715-135659.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/31b3c45Screenshot_20170715-135659.png,,142.169.78.33,3759508183381634806,Edit Submission
2017-07-15 14:00:23,MitchMan91,39,Mystic,18105663,[image.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/3679793image.png,40036,[image.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/3694d20image.png,1726,[image.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/3696279image.png,,142.169.78.210,3759508230129847444,Edit Submission
2017-07-15 14:00:33,katarzi,28,Instinct,161522,[IMG_5681.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/3f4c213IMG_5681.PNG,3615,[IMG_5683.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/3ee0285IMG_5683.PNG,644.3,[IMG_5682.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/3e9fc17IMG_5682.PNG,,142.169.78.192,3759508332918923343,Edit Submission
2017-07-15 14:02:25,Xeviana,24,Mystic,43618,[Screenshot_20170715-135926.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/b0c4e1fScreenshot_20170715-135926.png,0,[Screenshot_20170715-135940.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/afa2979Screenshot_20170715-135940.png,0,[Screenshot_20170715-135948.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/af67bd5Screenshot_20170715-135948.png,,142.169.78.169,3759509459618629730,Edit Submission
2017-07-15 14:02:51,Simplymoxie,40,Mystic,61558380,[IMG_0391.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/ad15bf5IMG_0391.PNG,109696,[IMG_0392.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/ba29c4bIMG_0392.PNG,4170.9,[IMG_0393.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/c7dfe9dIMG_0393.PNG,,204.48.79.91,3759509711999146760,Edit Submission
2017-07-15 14:04:05,OttSun,37,Instinct,814305,[IMG_4124.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/148ef44IMG_4124.PNG,20640,[IMG_4126.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/1507ffaIMG_4126.PNG,1543.2,[IMG_4125.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/14ede90IMG_4125.PNG,,184.151.246.114,3759510454114264012,Edit Submission
2017-07-15 14:04:11,Carbohydra,35,Instinct,1134961,[IMG_1380.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/b80853dIMG_1380.PNG,17330,[IMG_1381.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/e18f446IMG_1381.PNG,1952.1,[IMG_1382.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/150292cIMG_1382.PNG,,142.169.78.209,3759510519029734006,Edit Submission
2017-07-15 14:05:23,Jackiethegoose,31,Mystic,10916,[IMG_6572.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/62705bcIMG_6572.PNG,5764,[IMG_6573.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/608f755IMG_6573.PNG,825.5,[IMG_6574.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/60739d1IMG_6574.PNG,,24.114.107.179,3759511239711363574,Edit Submission
2017-07-15 14:05:36,Kytzzzzzz,30,Instinct,365707,[Screenshot_20170715-140349.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6f56457Screenshot_20170715-140349.png,5389,[Screenshot_20170715-140359.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6f3d195Screenshot_20170715-140359.png,398.3,[Screenshot_20170715-140408.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/6f439b0Screenshot_20170715-140408.png,,184.151.246.135,3759511365311443114,Edit Submission
2017-07-15 14:05:58,Caro8334,33,Instinct,750005,[Screenshot_2017-07-15-14-00-08.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/4eb2678Screenshot_2017-07-15-14-00-08.png,11171,[Screenshot_2017-07-15-14-00-15.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/8539376Screenshot_2017-07-15-14-00-15.png,914.3,[Screenshot_2017-07-15-14-00-30.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/817c74fScreenshot_2017-07-15-14-00-30.png,,72.143.211.102,3759511582012808188,Edit Submission
2017-07-15 14:06:01,Joueurbeta,27,Instinct,102424,[Screenshot_2017-07-15-14-03-38.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/885ce84Screenshot_2017-07-15-14-03-38.png,2738,[Screenshot_2017-07-15-14-03-49.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/880b158Screenshot_2017-07-15-14-03-49.png,228.3,[Screenshot_2017-07-15-14-04-00.png] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/87b5cf1Screenshot_2017-07-15-14-04-00.png,,184.151.246.35,3759511615369083022,Edit Submission
2017-07-15 14:06:17,GoldeenFTW,34,Valor,538830,[IMG_8171.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/98106c3IMG_8171.PNG,11340,[IMG_8176.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/97e2c3eIMG_8176.PNG,1310.3,[IMG_8177.PNG] https://www.jotform.com/widget-uploads/imagePreview/71935304640251/97d90b7IMG_8177.PNG,,142.169.78.166,3759511776617376625,Edit Submission
