Submission Date,Username,Level,Team,Total XP,Your XP Screenshot:,Collector Badge,Your Collector Badge Screenshot:,Jogger Badge,Your Jogger Badge Screenshot:,No Label,IP,Submission ID,Edit Link
2017-03-18 11:48:12,PhoenixAstra,35,Mystic,6349495,[IMG_4922.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/bb3497cIMG_4922.PNG,20762,[IMG_4921.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/bacbee9IMG_4921.PNG,1051.5,[IMG_4920.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/bac88b9IMG_4920.PNG,,24.114.100.148,365661292841602804,Edit Submission
2017-03-18 11:48:16,lXlWingZerolXl,38,Mystic,14220228,[IMG_2343.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/9c981bdIMG_2343.PNG,35821,[IMG_2344.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/a8b4614IMG_2344.PNG,1806.1,[IMG_2345.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/bf68f67IMG_2345.PNG,,24.114.106.119,365661296911600067,Edit Submission
2017-03-18 11:48:37,pokeknight81,25,Mystic,70257,[Screenshot_20170318-114634.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/d3ccc79Screenshot_20170318-114634.png,1621,[Screenshot_20170318-114717.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/d214801Screenshot_20170318-114717.png,175.7,[Screenshot_20170318-114805.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/d19dd17Screenshot_20170318-114805.png,,199.119.233.181,365661317181820506,Edit Submission
2017-03-18 11:48:47,Mitchman91,35,Mystic,6083260,[image.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/8b70a6eimage.png,18334,[image.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/7ee6c87image.png,1110.5,[image.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/7ed41beimage.png,,142.169.78.44,365661327448125886,Edit Submission
2017-03-18 11:48:50,gigantictuna,37,Instinct,10665830,[Screenshot_20170318-114718.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/e111f12Screenshot_20170318-114718.png,19630,[Screenshot_20170318-114744.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/e074caeScreenshot_20170318-114744.png,830.5,[Screenshot_20170318-114802.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/dfdff92Screenshot_20170318-114802.png,,142.169.78.159,365661330951561920,Edit Submission
2017-03-18 11:48:51,sumarufloating,37,Mystic,10668858,https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/e27c03eIMG_3420.PNG,21750,[IMG_3421.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/e2515e2IMG_3421.PNG,1588.7,[IMG_3422.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/e23dc12IMG_3422.PNG,,142.169.78.14,365661331418204391,Edit Submission
2017-03-18 11:49:19,TheBigDea1,39,Instinct,4987776,[IMG_0767.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/fdd4c6cIMG_0767.PNG,38421,[IMG_0765.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/fd571b4IMG_0765.PNG,4093,[IMG_0764.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/fd30344IMG_0764.PNG,,24.114.81.168,365661359861472277,Edit Submission
2017-03-18 11:49:21,SimplyMoxie,40,Mystic,24958663,[Screenshot_20170318-114744.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/acbe4dcScreenshot_20170318-114744.png,59054,[Screenshot_20170318-114736.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/c78304cScreenshot_20170318-114736.png,2941.6,[Screenshot_20170318-114731.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/d417aa0Screenshot_20170318-114731.png,,204.48.76.177,365661361771251157,Edit Submission
2017-03-18 11:50:34,likejagger5,32,Valor,3519503,[Capture+_2017-03-18-11-46-04.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/e2298c2Capture%2B_2017-03-18-11-46-04.png,8957,[Capture+_2017-03-18-11-46-39.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/f15f8aeCapture%2B_2017-03-18-11-46-39.png,1017,[Capture+_2017-03-18-11-46-24.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/318398cCapture%2B_2017-03-18-11-46-24.png,,184.151.246.179,365661434971966088,Edit Submission
2017-03-18 11:51:51,GRAF3NB3RG,39,Instinct,1498096,[IMG_2519.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/3a78238IMG_2519.PNG,32827,[IMG_2520.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/6bda111IMG_2520.PNG,2233.2,[IMG_2521.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/70764273596265/945b96aIMG_2521.PNG,,184.151.246.81,365661511186673643,Edit Submission
