Submission Date,Username,Level,Team,Total XP,Your XP Screenshot:,Collector Badge,Your Collector Badge Screenshot:,Jogger Badge,Your Jogger Badge Screenshot:,No Label,IP,Submission ID,Edit Link
2017-05-20 11:47:49,Krys82105d,30,Mystic,12983,[Screenshot_2017-05-20-11-37-03.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/2484526Screenshot_2017-05-20-11-37-03.png,3837,[Screenshot_2017-05-20-11-37-15.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/2477fceScreenshot_2017-05-20-11-37-15.png,661.4,[Screenshot_2017-05-20-11-37-56.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/246889cScreenshot_2017-05-20-11-37-56.png,,184.151.246.65,3711044695664900549,Edit Submission
2017-05-20 11:48:47,FrankiehokageWRONG,33,Valor,631728,,,,,,,142.169.78.170,3711045270714224509,Edit Submission
2017-05-20 11:49:25,Shouganai,34,Mystic,4973286,[Screenshot_20170520-114654.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/10992ffScreenshot_20170520-114654.png,11320,[Screenshot_20170520-114827.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/5b31ad3Screenshot_20170520-114827.png,1238.7,[Screenshot_20170520-114858.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/7878ce8Screenshot_20170520-114858.png,,24.114.81.202,3711045642021364436,Edit Submission
2017-05-20 11:49:48,Petcetera,36,Valor,8874326,[Screenshot_20170520-114821.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/8d607c9Screenshot_20170520-114821.png,,[Screenshot_20170520-114830.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/8c0abb5Screenshot_20170520-114830.png,,[Screenshot_20170520-114914.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/8bcf097Screenshot_20170520-114914.png,,204.48.79.66,3711045886695101821,Edit Submission
2017-05-20 11:50:23,likejagger5,33,Valor,661431,[Capture+_2017-05-20-11-48-08.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/8a7bbc9Capture%2B_2017-05-20-11-48-08.png,11182,[Capture+_2017-05-20-11-48-32.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/9d546b2Capture%2B_2017-05-20-11-48-32.png,1282.4,[Capture+_2017-05-20-11-48-22.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/b57d211Capture%2B_2017-05-20-11-48-22.png,,184.151.246.65,3711046235667419695,Edit Submission
2017-05-20 11:52:13,UrssisWRONG,36,Valor,7989002,,17714,,1802,,,204.48.95.233,3711047333326509590,Edit Submission
2017-05-20 11:52:26,Frankiehokage,33,Valor,631728,[Capture+_2017-05-20-11-51-19.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/1aea3f2Capture%2B_2017-05-20-11-51-19.png,11199,[Capture+_2017-05-20-11-51-33.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/2599ddcCapture%2B_2017-05-20-11-51-33.png,1221.2,[Capture+_2017-05-20-11-51-09.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/2f1ba32Capture%2B_2017-05-20-11-51-09.png,,142.169.78.170,3711047460717160577,Edit Submission
2017-05-20 11:52:52,CavM89,25,Mystic,9108,[Screenshot_2017-05-20-11-46-54.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/e49bb7dScreenshot_2017-05-20-11-46-54.png,2148,[Screenshot_2017-05-20-11-47-21.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/339b0d9Screenshot_2017-05-20-11-47-21.png,313.4,[Screenshot_2017-05-20-11-48-37.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/48ed016Screenshot_2017-05-20-11-48-37.png,,24.114.96.25,3711047725262866072,Edit Submission
2017-05-20 11:53:08,Gladgi,31,Valor,493777,[IMG_3524.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/62c3e8cIMG_3524.PNG,6462,[IMG_3523.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/624dc40IMG_3523.PNG,608.5,[IMG_3522.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/620c271IMG_3522.PNG,,24.114.94.32,3711047882344162702,Edit Submission
2017-05-20 11:53:47,fleshcrawler,34,Mystic,506198,,11615,[IMG_2882.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/4f26d6bIMG_2882.PNG,1122.4,[IMG_2884.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71394002319248/6a15590IMG_2884.PNG,,24.114.97.58,3711048278579328338,Edit Submission
