"Submission Date","Username","Level","Total XP","Collector Badge","Jogger Badge","Team","XP Screenshot","Collector Badge Screenshot","Jogger Badge Screenshot",""
"2016-11-19 14:19:04","Cathaymon","28","1506904","4743","430.7","Valor","[IMG_2001.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a77eec6IMG_2001.PNG","[IMG_2002.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a741678IMG_2002.PNG","[IMG_2003.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a738afdIMG_2003.PNG",""
"2016-11-19 14:16:20","MyosotisVerbena","26","1006166","2902","337.04","Valor","[Pokémon GO_2016-11-19-14-14-17.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/027c842Pok%C3%A9mon%20GO_2016-11-19-14-14-17.png","[Pokémon GO_2016-11-19-14-14-27.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/022b574Pok%C3%A9mon%20GO_2016-11-19-14-14-27.png","[Pokémon GO_2016-11-19-14-14-43.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/01dca85Pok%C3%A9mon%20GO_2016-11-19-14-14-43.png",""
"2016-11-19 14:16:12","Swandalf1","28","1566095","4886","545.9","Mystic","[IMG_1997.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/fb07bd1IMG_1997.PNG","[IMG_1998.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/fa33e03IMG_1998.PNG","[IMG_1999.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/fa3b545IMG_1999.PNG",""
"2016-11-19 14:16:07","Greatestrondini","29","1702338","4619","423.2","Valor","[Screenshot_20161119-141037.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/f4a851fScreenshot_20161119-141037.png","[Screenshot_20161119-141310.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/f470ffcScreenshot_20161119-141310.png","[Screenshot_20161119-141547.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/f494832Screenshot_20161119-141547.png",""
"2016-11-19 14:14:10","floatingsumaru","33","539431","8642","850.9","Mystic","[image.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/80c58b3image.png","[image.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/7db2852image.png","[image.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/7da2324image.png",""
"2016-11-19 14:13:21","Elracx","34","4821068","11623","893","Mystic","[Screenshot_20161119-141136.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/3a1aefcScreenshot_20161119-141136.png","[Screenshot_20161119-141222.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/45e6027Screenshot_20161119-141222.png","[Screenshot_20161119-141236.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/4d52bd4Screenshot_20161119-141236.png",""
"2016-11-19 14:09:02","DragonGirl11","24","683410","1965","172.1","Mystic","[Screenshot_2016-11-19-14-07-12.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/1ab4decScreenshot_2016-11-19-14-07-12.png","[Screenshot_2016-11-19-14-07-34.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/2c48117Screenshot_2016-11-19-14-07-34.png","[Screenshot_2016-11-19-14-07-22.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/3d826f4Screenshot_2016-11-19-14-07-22.png",""
"2016-11-19 14:07:50","Jer02","30","2192851","6127","1083.7","Instinct","[IMG_1048.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/04baf73IMG_1048.PNG","[IMG_1050.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/051d480IMG_1050.PNG","[IMG_1049.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/047553fIMG_1049.PNG",""
"2016-11-19 14:06:37","Hashable","28","1575573","3792","486.3","Instinct","[tmp_13219-Screenshot_20161119-1402561271743476.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/bc6526etmp_13219-Screenshot_20161119-1402561271743476.png","[tmp_13219-Screenshot_20161119-1403031252571057.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/b6a97f8tmp_13219-Screenshot_20161119-1403031252571057.png","[tmp_13219-Screenshot_20161119-1403241306404965.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/b942810tmp_13219-Screenshot_20161119-1403241306404965.png",""
"2016-11-19 14:06:28","Hasagamii","20","20255","879","41.1","Instinct","[Screenshot_2016-11-19-14-01-17.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/b2b531fScreenshot_2016-11-19-14-01-17.png","[Screenshot_2016-11-19-14-01-34.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/ae0aa95Screenshot_2016-11-19-14-01-34.png","[Screenshot_2016-11-19-14-01-40.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/a829fc8Screenshot_2016-11-19-14-01-40.png",""
