Submission Date,Username,Level,Team,Total XP,Your XP Screenshot:,Collector Badge,Your Collector Badge Screenshot:,Jogger Badge,Your Jogger Badge Screenshot:,No Label,IP,Submission ID,Edit Link
2017-11-18 11:57:03,Sabersnipe,27,Mystic,24913,[Screenshot_2017-11-18-11-55-22.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/5e946cfScreenshot_2017-11-18-11-55-22.png,1417,[Screenshot_2017-11-18-11-56-17.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/5e58a03Screenshot_2017-11-18-11-56-17.png,114.3,[Screenshot_2017-11-18-11-56-43.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/5e6b098Screenshot_2017-11-18-11-56-43.png,,72.143.208.89,3868334239889395868,Edit Submission
2017-11-18 11:57:17,Mitchman91,40,Mystic,28210213,[image.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/6c8eb0dimage.png,760362,[image.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/6c8dcaeimage.png,2204.7,[image.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/6c8dee3image.png,,142.169.78.101,3868334371013090401,Edit Submission
2017-11-18 11:57:40,IIVIGoliathIIVI,31,Valor,198154,[Screenshot_20171118-115532.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/836ad90Screenshot_20171118-115532.png,4028,[Screenshot_20171118-115547.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/834c0fbScreenshot_20171118-115547.png,976.8,[Screenshot_20171118-115539.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/8350eb3Screenshot_20171118-115539.png,,142.169.78.105,3868334605014196195,Edit Submission
2017-11-18 11:58:02,SheIs84,40,Instinct,23260574,[32A4C3A0-2C3A-45D9-A261-60202DD48E82.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/993ab3f32A4C3A0-2C3A-45D9-A261-60202DD48E82.png,49206,[B9CBD69B-9086-4436-B202-216B06E39593.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/993d1bcB9CBD69B-9086-4436-B202-216B06E39593.png,4540,[604F94EF-ED07-4902-8482-1BB0602E887B.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/9939cfe604F94EF-ED07-4902-8482-1BB0602E887B.png,,24.114.83.103,3868334823013169312,Edit Submission
2017-11-18 11:58:17,WingZero,40,Mystic,42829142,[IMG_5283.PNG] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/8dbec28IMG_5283.PNG,79927,[IMG_5284.PNG] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/7ff1c89IMG_5284.PNG,2951.4,[IMG_5285.PNG] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/7376bc9IMG_5285.PNG,,24.114.100.75,3868334975705391276,Edit Submission
2017-11-18 11:58:32,Nick13595,29,Mystic,1787523,[Screenshot_20171118-115535.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/b79cd1fScreenshot_20171118-115535.png,2159,[Screenshot_20171118-115721.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/b783248Screenshot_20171118-115721.png,283.3,[Screenshot_20171118-115804.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/b77878aScreenshot_20171118-115804.png,,184.151.246.133,3868335123316630998,Edit Submission
2017-11-18 11:59:52,GarethMzi,35,Valor,1134728,[IMG_2839.PNG] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/0756e4cIMG_2839.PNG,14280,[IMG_2841.PNG] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/fd65b8eIMG_2841.PNG,3726,[IMG_2840.PNG] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/037a489IMG_2840.PNG,,137.122.64.80,3868335920841687177,Edit Submission
2017-11-18 12:01:30,Vandermear,36,Mystic,491563,[Capture+_2017-11-18-11-59-23.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/695aa6cCapture%2B_2017-11-18-11-59-23.png,14730,[Capture+_2017-11-18-11-59-10.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/6931fd9Capture%2B_2017-11-18-11-59-10.png,1303.2,[Capture+_2017-11-18-11-58-59.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/6931022Capture%2B_2017-11-18-11-58-59.png,,184.151.246.78,3868336908765512665,Edit Submission
2017-11-18 12:01:51,GRAF3NB3RG,40,Instinct,43385215,[2C2CA848-3294-4FDF-BB53-DFCE8138FF32.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/0c0e3a72C2CA848-3294-4FDF-BB53-DFCE8138FF32.png,80666,[C6750802-CC1C-49F8-B84F-A76F045C4B5B.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/53495f5C6750802-CC1C-49F8-B84F-A76F045C4B5B.png,4190.8,[B65E8357-9750-40A2-B82E-9BBB7D556F0E.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/7a96e56B65E8357-9750-40A2-B82E-9BBB7D556F0E.png,,184.151.246.153,3868337113515949301,Edit Submission
2017-11-18 12:02:46,Tp0t,40,Instinct,24475723,[AECA737C-84E8-4559-B2ED-AD5DBCABF7F2.jpeg] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/5fa24c7AECA737C-84E8-4559-B2ED-AD5DBCABF7F2.jpeg,38914,[ACE57B50-2107-4164-9A07-ADB7E07BE137.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/72e4c8fACE57B50-2107-4164-9A07-ADB7E07BE137.png,1995,[18984E3C-E695-4C0D-A92E-F9815EFBE1D0.png] https://www.jotform.com/widget-uploads/imagePreview/73138654419260/a31930f18984E3C-E695-4C0D-A92E-F9815EFBE1D0.png,,184.151.246.245,3868337665424873704,Edit Submission
